iter	Passed	Remaining
0	159	159790
1	161	80557
2	162	54076
3	163	40753
4	164	32734
5	165	27420
6	166	23607
7	167	20773
8	168	18558
9	169	16781
10	171	15378
11	172	14213
12	173	13188
13	174	12324
14	175	11542
15	176	10861
16	177	10256
17	178	9749
18	180	9299
19	181	8873
20	182	8492
21	183	8153
22	184	7833
23	185	7542
24	186	7274
25	187	7027
26	188	6798
27	189	6576
28	190	6377
29	191	6190
30	192	6016
31	193	5859
32	195	5714
33	196	5575
34	197	5435
35	198	5303
36	199	5180
37	199	5062
38	200	4951
39	202	4850
40	203	4761
41	204	4671
42	205	4581
43	206	4494
44	207	4413
45	209	4337
46	210	4266
47	212	4219
48	213	4148
49	214	4078
50	215	4015
51	217	3956
52	217	3894
53	219	3847
54	220	3795
55	222	3744
56	223	3695
57	224	3650
58	226	3604
59	227	3556
60	227	3508
61	228	3463
62	229	3420
63	230	3376
64	232	3344
65	234	3312
66	235	3275
67	236	3235
68	237	3199
69	238	3164
70	239	3129
71	241	3107
72	242	3079
73	243	3048
74	244	3018
75	245	2988
76	246	2958
77	247	2928
78	248	2898
79	249	2870
80	250	2841
81	251	2814
82	252	2784
83	252	2758
84	253	2732
85	254	2708
86	255	2685
87	256	2660
88	257	2636
89	258	2612
90	259	2590
91	260	2570
92	261	2551
93	262	2530
94	263	2509
95	264	2488
96	265	2467
97	266	2448
98	267	2430
99	268	2413
100	269	2395
101	269	2376
102	270	2359
103	271	2342
104	272	2324
105	273	2307
106	274	2291
107	275	2274
108	276	2258
109	277	2243
110	278	2227
111	278	2211
112	279	2197
113	280	2182
114	281	2169
115	282	2155
116	283	2141
117	284	2127
118	285	2114
119	286	2100
120	287	2087
121	288	2073
122	289	2062
123	290	2052
124	291	2039
125	292	2028
126	293	2016
127	294	2006
128	295	1996
129	296	1986
130	297	1976
131	298	1965
132	299	1955
133	300	1944
134	301	1934
135	302	1924
136	304	1915
137	305	1906
138	306	1896
139	307	1886
140	308	1877
141	308	1866
142	309	1857
143	311	1849
144	312	1841
145	313	1832
146	314	1823
147	315	1815
148	316	1806
149	317	1798
150	318	1790
151	319	1783
152	320	1775
153	321	1766
154	322	1758
155	323	1750
156	324	1743
157	325	1736
158	326	1729
159	327	1721
160	328	1712
161	329	1704
162	330	1697
163	331	1689
164	332	1682
165	333	1675
166	334	1668
167	335	1661
168	336	1653
169	337	1646
170	338	1639
171	338	1631
172	339	1624
173	340	1617
174	341	1610
175	342	1603
176	343	1596
177	344	1588
178	344	1581
179	345	1574
180	346	1568
181	347	1561
182	348	1555
183	349	1549
184	350	1543
185	351	1536
186	351	1530
187	352	1524
188	353	1517
189	354	1511
190	355	1505
191	356	1501
192	357	1495
193	358	1489
194	359	1483
195	360	1477
196	361	1471
197	361	1466
198	362	1460
199	363	1455
200	364	1449
201	365	1444
202	366	1438
203	367	1433
204	368	1428
205	369	1423
206	370	1418
207	371	1413
208	372	1408
209	372	1403
210	373	1398
211	374	1392
212	375	1387
213	376	1382
214	377	1377
215	378	1373
216	379	1368
217	380	1363
218	380	1358
219	381	1352
220	382	1347
221	383	1342
222	384	1338
223	384	1333
224	385	1328
225	386	1324
226	387	1320
227	388	1315
228	389	1311
229	390	1306
230	391	1302
231	391	1297
232	392	1293
233	393	1289
234	394	1284
235	395	1280
236	396	1276
237	397	1271
238	398	1267
239	398	1263
240	400	1259
241	400	1255
242	401	1251
243	402	1247
244	403	1243
245	404	1239
246	405	1234
247	405	1230
248	406	1226
249	407	1223
250	410	1225
251	411	1221
252	412	1217
253	413	1213
254	413	1209
255	414	1205
256	415	1202
257	416	1198
258	417	1194
259	418	1190
260	419	1186
261	420	1183
262	420	1179
263	421	1175
264	422	1172
265	423	1168
266	424	1165
267	425	1161
268	426	1158
269	427	1154
270	428	1151
271	428	1147
272	429	1143
273	430	1141
274	431	1137
275	432	1134
276	433	1131
277	434	1128
278	435	1125
279	436	1122
280	437	1118
281	438	1115
282	439	1112
283	439	1109
284	440	1106
285	441	1103
286	442	1099
287	443	1096
288	444	1093
289	445	1090
290	446	1087
291	447	1084
292	448	1081
293	449	1079
294	450	1076
295	451	1072
296	451	1069
297	452	1066
298	453	1063
299	454	1060
300	455	1057
301	456	1054
302	457	1052
303	458	1049
304	459	1046
305	459	1043
306	460	1040
307	461	1037
308	462	1034
309	463	1032
310	464	1029
311	465	1026
312	466	1023
313	467	1020
314	468	1018
315	469	1015
316	470	1013
317	471	1010
318	471	1007
319	473	1005
320	474	1002
321	475	1000
322	476	998
